Car Brand,Car Model,Basic Service Price,Express Service Price,Comprehensive Service Price
Maruti,Swift,2699,2699,3299
Maruti,Baleno,2899,2899,3499
Maruti,Dzire,2799,2799,3399
Maruti,Ertiga,3499,3499,4299
Maruti,Brezza,3299,3299,3999
Hyundai,i10,2599,2599,3199
Hyundai,i20,2899,2899,3499
Hyundai,Venue,3199,3199,3899
Hyundai,Creta,3699,3699,4499
Hyundai,Verna,3299,3299,3999
Tata,Tiago,2499,2499,2999
Tata,Nexon,3199,3199,3899
Tata,Altroz,2899,2899,3499
Tata,Harrier,3999,3999,4799
Tata,Punch,2799,2799,3399
Honda,Amaze,2899,2899,3499
Honda,City,3299,3299,3999
Honda,WRV,3199,3199,3899
Honda,Jazz,2999,2999,3699
Mahindra,XUV300,3299,3299,3999
Mahindra,Scorpio,3999,3999,4799
Mahindra,XUV700,4499,4499,5499
Mahindra,Thar,3999,3999,4799
Toyota,Glanza,2899,2899,3499
Toyota,Urban Cruiser,3299,3299,3999
Toyota,Innova,4499,4499,5499
Toyota,Fortuner,5499,5499,6499
Kia,Sonet,3199,3199,3899
Kia,Seltos,3699,3699,4499
Kia,Carens,3999,3999,4799